source_file,note_type,note
NovaCloud_Q3_2024.pdf,definition_notes,Net Dollar Retention and Logo Churn are both calculated on a last-twelve-months (LTM) basis (footnote 2). Recognized Revenue is reported under ASC 606 on a ratable basis (footnote 1). Cash Runway (~28 months) is present in the table but does not map to a canonical metric and was not extracted. Pipeline data was not included this quarter per footnote 3.
NovaCloud_Q4_2024.pdf,entity_notes,No rebrand or rename noted. The company is referred to consistently as NovaCloud Analytics Inc.
NovaCloud_Q4_2024.pdf,definition_notes,Footnote (1): 'Net Revenue is equivalent to Recognized Revenue in prior periods; terminology updated for board reporting.' Footnote (2): Gross Margin and Net Dollar Retention are discussed in the commentary section only; not separately tabled. Footnote (3): Logo Churn Rate is calculated on a last-twelve-months (LTM) basis. Net Dollar Retention is also stated on a trailing-twelve-month basis per commentary.
PeopleFlow_Q1_2025.pdf,entity_notes,"No rebrand of the company itself noted. Per footnote (3), 'Active Subscriptions' is equivalent to 'Paying Customer Logos' used in prior periods; terminology updated in Q1 2025. Note: 'Active Subscriptions' (395) is not a canonical metric and has not been extracted."
PeopleFlow_Q1_2025.pdf,definition_notes,"Footnote (2): 'Net Pound Retention (NPR)' is a relabelling of 'Net Dollar Retention' used in Q4 2024, updated to reflect GBP as the reporting currency — no change in underlying definition. Footnote (3): 'Active Subscriptions' replaces 'Paying Customer Logos' from prior periods. Footnote (4): Logo Churn is annualised on a last-twelve-months basis."
PeopleFlow_Q2_2025.pdf,entity_notes,"No rebrand or rename noted. Company is referred to as PeopleFlow HR Systems Ltd. (""PeopleFlow"") throughout."
PeopleFlow_Q2_2025.pdf,definition_notes,1. 'Net Dollar Retention' is computed in GBP; the label is retained for cross-portfolio comparability (footnote 4). Mapped to net_dollar_retention with note. 2. Q1 2025 Quarterly Revenue was restated from 4.7M to 4.6M to reflect the reversal of a contract modification initially recognised in Q1 but subsequently unwound in April 2025 (footnote 2); the Q1 2025 standalone investor report has not been reissued. 3. Gross Margin (73%) is discussed in commentary and footnoted (footnote 3) as not separately tabled this period; sourced from prose. 4. Module Attach Rate (2.3 modules/acct) introduced Q2 2025 per footnote 5; not a canonical metric and therefore not extracted.
PeopleFlow_Q4_2024.pdf,entity_notes,"No rebrand or rename mentioned. The company is referred to consistently as PeopleFlow HR Systems Ltd. (""PeopleFlow"") throughout the document."
PeopleFlow_Q4_2024.pdf,definition_notes,"1. 'Net Dollar Retention (LTM)' is computed in GBP; the label is retained for cross-portfolio comparability (footnote 2). Mapped to net_dollar_retention. 2. Gross Margin excludes customer success costs, covering cloud hosting and third-party data costs only (footnote 4). 3. Annual Logo Churn is annualised on a last-twelve-months basis (footnote 3). 4. No cash_balance, ebitda, or monthly_net_burn figures were present in this report and have been omitted."
Portfolio_Snapshot_Q2_2025.pdf,entity_notes,CarbonTrack was formerly named 'CarbonTrack Analytics Corp.' per the document prose and footnote (4). The document uses 'CarbonTrack' throughout as the operating name.
Portfolio_Snapshot_Q2_2025.pdf,definition_notes,"1. TalentVault reports 'Net Revenue Retention (LTM)' and 'Gross Revenue Retention (LTM)' instead of the more common Net Dollar Retention / logo churn framing; both are LTM measures. 'Gross Revenue Retention (LTM)' of 91% is not mapped to a canonical metric and is not extracted. 2. NovaCloud 'Logo Churn (LTM)' and TalentVault 'Net Revenue Retention (LTM)' are both measured on a last twelve months basis, not a point-in-time or single-quarter basis. 3. MediSight Contracted ARR of 27.9M is sourced from a standalone quarterly report and a document footnote, not from the summary table. 4. CarbonTrack labels NDR as 'Net Revenue Retention' rather than 'Net Dollar Retention'. 5. Footnote (1) explicitly states that terminology has not been standardised across companies. 6. MediSight 'YoY Revenue Growth' of 11% is not a canonical metric and has not been extracted. 7. TalentVault 'Enterprise Logos (>$100k ARR)' of 48 is not a canonical metric and has not been extracted. 8. CarbonTrack 'Paying Entities' of 1,042 is not a canonical metric and has not been extracted. 9. TalentVault headcount is explicitly excluded from this summary per footnote (3)."
TalentVault_Q2_2025.pdf,entity_notes,No rebrand or rename mentioned.
TalentVault_Q2_2025.pdf,definition_notes,"1. ""Contracted ARR"" reflects signed, active contracts and includes multi-year deals at full annualized value (footnote 1). 2. ""Net Revenue Retention (LTM)"" is measured on a last-twelve-months basis and includes upsell and cross-sell; ""Gross Revenue Retention (LTM)"" excludes expansion — GRR is not mapped to a canonical metric and was not extracted. 3. ""Monthly Net Burn"" excludes non-cash stock-based compensation of $0.42M/quarter (footnote 3). 4. Logo churn and EBITDA are absent from the document and were not extracted."
